Province,District,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bắc Ninh,Từ Sơn,4.111146,5.108796,5.906579,6.079416,6.664615,7.815739,8.329764,9.568819,9.501061
Bắc Ninh,Yên Phong,1.820282,2.233108,2.784303,3.711055,5.039752,5.69541,5.517506,5.303512,4.774665
Bến Tre,Ba Tri,0.20691,0.217317,0.317696,0.307557,0.258403,0.475912,0.644208,0.67081,0.767321
Bến Tre,Bình Đại,0.220404,0.232045,0.576809,0.472604,0.487044,0.776076,1.049295,1.256434,1.230796
Bến Tre,Bến Tre,3.144991,3.348323,3.754279,3.990667,4.109792,4.662743,5.277493,6.047534,5.995292
Bến Tre,Châu Thành,0.431955,0.567609,0.742196,0.989413,1.108119,1.581497,2.091678,2.383183,2.480737
Bến Tre,Chợ Lách,0.119411,0.152666,0.252113,0.407129,0.548718,0.875487,1.159466,1.306698,1.450268
Bến Tre,Giồng Trôm,0.090315,0.122249,0.219382,0.265138,0.277131,0.393497,0.524441,0.578827,0.67592
Bến Tre,Mỏ Cày Bắc,0.056149,0.081083,0.14139,0.183601,0.19016,0.280968,0.418184,0.523029,0.685709
Bến Tre,Mỏ Cày Nam,0.050116,0.075648,0.120846,0.181398,0.219439,0.361407,0.435104,0.552127,0.655729
Bến Tre,Thạnh Phú,0.031,0.024881,0.316592,0.312076,0.202123,0.42693,0.571012,0.605649,0.632567
Cao Bằng,Bảo Lâm,0.001546,0.002795,0.002676,0.003188,0.008874,0.012971,0.012502,0.009728,0.009995
Cao Bằng,Bảo Lạc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000184,0.000276
Cao Bằng,Cao Bằng,0.209899,0.440492,0.447681,0.376805,0.50043,0.518605,0.521817,0.734095,0.894539
Cao Bằng,Hoà An,0.003776,0.005162,0.007585,0.004403,0.005147,0.004703,0.006454,0.006418,0.005723
Cao Bằng,Hà Quảng,0.0,0.0,0.0,0.001071,0.000971,0.000861,0.00071,0.00515,0.0
Cao Bằng,Hạ Lang,0.0,0.001926,0.002349,0.002835,0.001447,0.003661,0.005454,0.013425,0.004686
Cao Bằng,Nguyên Bình,0.004183,0.005265,0.004472,0.004253,0.003054,0.002369,0.00171,0.001558,0.001663
Cao Bằng,Phục Hoà,0.007897,0.019395,0.013953,0.021233,0.016659,0.040271,0.042451,0.056495,0.038195
Cao Bằng,Quảng Uyên,0.0,0.00146,0.002867,0.001325,0.003191,0.006513,0.005608,0.008603,0.010238
Cao Bằng,Thông Nông,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cao Bằng,Thạch An,7.8e-05,0.0,0.000295,0.000142,0.000126,0.003136,0.000821,0.001473,0.001865
Cao Bằng,Trà Lĩnh,0.000267,0.000466,0.0,0.001744,0.009985,0.028394,0.027162,0.035841,0.026831
Cao Bằng,Trùng Khánh,0.005506,0.011126,0.010945,0.0187,0.028153,0.034872,0.039062,0.075897,0.041347
Cà Mau,Cà Mau,1.25122,1.416223,1.732732,1.936109,2.131445,2.343842,2.796756,2.872262,3.186016
Cà Mau,Cái Nước,0.072011,0.127759,0.359216,0.241974,0.154471,0.225084,0.232129,0.226496,0.277866
Cà Mau,Ngọc Hiển,0.01035,0.016446,0.021202,0.037034,0.03433,0.064361,0.081302,0.088933,0.115243
Cà Mau,Năm Căn,0.018581,0.040046,0.055799,0.074679,0.063123,0.133924,0.133253,0.159433,0.177626
Cà Mau,Phú Tân,0.006845,0.07039,0.315018,0.207979,0.123097,0.23403,0.244503,0.241996,0.27382
Cà Mau,Thới Bình,0.033301,0.048774,0.050626,0.063611,0.055535,0.088762,0.099118,0.092289,0.109887
Cà Mau,Trần Văn Thời,0.022109,0.059075,0.156548,0.139932,0.110163,0.172656,0.191242,0.19774,0.217396
Cà Mau,U Minh,0.188445,0.181532,0.205137,0.222937,0.19882,0.334695,0.355741,0.322421,0.315863
Cà Mau,Đầm Dơi,0.044017,0.070863,0.135821,0.091821,0.056035,0.103271,0.147386,0.147061,0.16883
Cần Thơ,Bình Thuỷ,2.498417,2.995054,3.351509,3.84791,4.215256,4.643483,5.417555,5.399349,5.54046
Cần Thơ,Cái Răng,3.699326,4.131658,4.461193,5.048128,5.258705,5.660983,6.919516,7.57981,8.292271
Cần Thơ,Cờ Đỏ,0.080404,0.123664,0.120743,0.163999,0.201283,0.267282,0.332638,0.355797,0.454925
Cần Thơ,Ninh Kiều,10.651692,12.198292,14.216283,15.876369,16.540481,16.642869,18.466852,19.121159,18.782976
Cần Thơ,Phong Điền,0.249468,0.325348,0.406953,0.470019,0.500164,0.65242,0.842873,0.868558,1.216313
Cần Thơ,Thốt Nốt,0.713175,0.798335,0.968326,1.151019,1.210901,1.484725,1.633727,1.860938,2.188916
Cần Thơ,Thới Lai,0.095432,0.193246,0.20117,0.228744,0.241639,0.352706,0.44324,0.51979,0.644576
Cần Thơ,Vĩnh Thạnh,0.087282,0.12046,0.158119,0.204797,0.234575,0.278966,0.304426,0.368294,0.475023
Cần Thơ,Ô Môn,0.983777,1.177241,1.202216,1.197175,1.399349,1.508956,1.884868,1.921995,2.263196
Gia Lai,An Khê,0.390556,0.598303,0.592399,0.695973,0.590756,0.836637,1.004509,0.9548,1.09779
Gia Lai,Ayun Pa,0.14287,0.150747,0.173872,0.306207,0.283418,0.315523,0.409342,0.37901,0.3997
Gia Lai,Chư Prông,0.012566,0.01234,0.011193,0.013457,0.013923,0.019303,0.028127,0.04204,0.048146
Gia Lai,Chư Păh,0.049321,0.064131,0.069219,0.083551,0.08587,0.134034,0.153631,0.145539,0.153871
Gia Lai,Chư Pưh,0.008965,0.008002,0.009521,0.016102,0.01514,0.029827,0.040091,0.032847,0.050245
Gia Lai,Chư Sê,0.036559,0.051661,0.045758,0.047585,0.062195,0.088355,0.123852,0.123784,0.14638
Gia Lai,Ia Grai,0.056323,0.056526,0.051308,0.055308,0.054968,0.07249,0.100014,0.090111,0.094359
Gia Lai,Ia Pa,0.009815,0.014787,0.014701,0.027272,0.032298,0.052418,0.086145,0.053084,0.065475
Gia Lai,KBang,0.018757,0.021602,0.022096,0.026691,0.018926,0.026126,0.035436,0.03718,0.044777
Gia Lai,Krông Pa,0.003578,0.00573,0.005787,0.007714,0.007869,0.012056,0.022893,0.036488,0.042886
Gia Lai,Kông Chro,0.004237,0.01158,0.010617,0.011494,0.009965,0.011575,0.024911,0.022615,0.025922
Gia Lai,Mang Yang,0.056899,0.070622,0.085487,0.093185,0.055902,0.086352,0.102014,0.094624,0.104432
Gia Lai,Phú Thiện,0.011664,0.017317,0.018173,0.022164,0.018573,0.033604,0.068049,0.074224,0.09892
Gia Lai,Pleiku,2.218738,2.30181,2.307369,2.543789,2.533787,2.621728,2.803934,2.663134,2.922019
Gia Lai,Đăk Pơ,0.042842,0.065048,0.069637,0.103156,0.083284,0.135886,0.159833,0.144139,0.203133
Gia Lai,Đăk Đoa,0.088734,0.088511,0.086259,0.096235,0.087504,0.114244,0.133753,0.136028,0.159894
Gia Lai,Đức Cơ,0.014648,0.021098,0.016662,0.018787,0.017686,0.062835,0.081734,0.073452,0.089488
Hoà Bình,Cao Phong,0.032153,0.029152,0.031877,0.044223,0.028528,0.061035,0.049169,0.055098,0.078373
Hoà Bình,Hòa Bình,1.256311,1.266412,1.464372,1.651161,1.966723,2.329508,2.372833,2.108844,2.328805
Hoà Bình,Kim Bôi,0.007768,0.00695,0.037422,0.031237,0.010447,0.034499,0.026954,0.026914,0.027859
Hoà Bình,Kỳ Sơn,0.062157,0.073215,0.099447,0.111084,0.097476,0.132432,0.135143,0.160284,0.201265
Hoà Bình,Lương Sơn,0.16478,0.172493,0.204323,0.20879,0.209755,0.299009,0.325434,0.350955,0.468219
Hoà Bình,Lạc Sơn,0.0,0.003376,0.008094,0.009272,0.020315,0.024461,0.014647,0.017032,0.014233
Hoà Bình,Lạc Thủy,0.013007,0.013589,0.039455,0.027237,0.072008,0.10725,0.134251,0.142403,0.14802
Hoà Bình,Mai Châu,0.006732,0.011128,0.022031,0.021942,0.019039,0.030129,0.025698,0.022335,0.017012
Hoà Bình,Tân Lạc,0.010579,0.007547,0.020176,0.018059,0.016672,0.020892,0.032513,0.043061,0.047782
Hoà Bình,Yên Thủy,0.017899,0.022445,0.031988,0.023756,0.019508,0.036494,0.04269,0.057475,0.05317
Hoà Bình,Đà Bắc,0.002767,0.001397,0.002311,0.002913,0.002656,0.006014,0.005075,0.005186,0.005507
Hà Giang,Bắc Mê,0.001669,0.002689,0.003406,0.007015,0.010982,0.007839,0.005762,0.006289,0.005
Hà Giang,Bắc Quang,0.0,0.0,0.0,0.000847,0.003861,0.008885,0.006682,0.010636,0.006109
Hà Giang,Hoàng Su Phì,0.0,0.0,0.0,0.0,0.0,0.0,0.003672,0.002134,0.004992
Hà Giang,Hà Giang,0.05709,0.139114,0.135519,0.201518,0.297683,0.432166,0.317692,0.415437,0.424237
Hà Giang,Mèo Vạc,0.003097,0.002578,0.004382,0.007721,0.009397,0.014006,0.011683,0.009998,0.003036
Hà Giang,Quang Bình,0.000495,0.001183,0.0,0.001995,0.002222,0.002985,0.004211,0.007134,0.003914
Hà Giang,Quản Bạ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001249,0.0
Hà Giang,Vị Xuyên,0.00437,0.015958,0.006619,0.006659,0.007559,0.01081,0.008474,0.008686,0.005298
Hà Giang,Xín Mần,0.004061,0.002826,0.002077,0.003957,0.00244,0.011756,0.011456,0.005312,0.009186
Hà Giang,Yên Minh,0.001245,0.002352,0.002476,0.003108,0.002399,0.007968,0.006797,0.004625,0.006537
Hà Giang,Đồng Văn,0.0,0.0,0.000483,0.004406,0.004188,0.008156,0.009782,0.013451,0.005162
Hà Nam,Bình Lục,0.090114,0.09999,0.331364,0.478354,0.503246,0.50822,0.638306,1.110522,1.241522
Hà Nam,Duy Tiên,1.191888,1.45284,1.727599,1.914936,2.136487,2.448544,2.878426,2.955197,3.258658
Hà Nam,Kim Bảng,0.328951,0.375183,0.418721,0.516022,0.586508,0.822204,1.048455,1.297725,1.55362
Hà Nam,Lý Nhân,0.117418,0.13874,0.219291,0.232993,0.284793,0.40219,0.681971,0.762604,1.206718
Hà Nam,Phủ Lý,2.035418,2.262466,2.883566,3.626557,4.201929,4.648387,5.76331,7.132969,7.812206
Hà Nam,Thanh Liêm,0.585419,0.699022,0.946945,1.133683,1.384777,1.487519,1.731055,1.923715,2.100553
Hà Nội,Ba Vì,0.194183,0.213846,0.25799,0.309535,0.32574,0.402825,0.479589,0.641285,0.686431
